"","alderman","clout"
"14","Burke, Edward M.",17.5821403068751
"40","O'Connor, Patrick",7.75344637193299
"34","Austin, Carrie M.",4.98594228772447
"49","Moore, Joseph",4.63082482243593
"23","Zalewski, Michael R.",4.26169072009095
"31","Suarez, Regner Ray",4.08233030312738
"8","Harris, Michelle A.",3.80369954556901
"27","Burnett, Jr., Walter",3.39141674795676
"9","Beale, Anthony",3.35504018149807
"39","Laurino, Margaret",3.25768973727329
"11","Balcer, James",3.21437769999716
"25","Solis, Daniel",2.76001053520837
"17","Thomas, Latasha R.",2.68476907751152
"37","Mitts, Emma",2.45085670733072
"19","O'Shea, Matthew J.",2.25992969671198
"33","Mell, Deborah",2.11788526492157
"44","Tunney, Thomas",2.00362025487276
"6","Sawyer, Roderick T.",1.71503382925236
"12","Cardenas, George A.",1.42955352186218
"30","Reboyras, Ariel",1.42055689223984
"7","Holmes, Natashia",1.34673082536463
"13","Quinn, Marty",1.32008178883171
"21","Brookins, Jr., Howard",1.29086214475562
"4","Burns, William D.",1.16084144451632
"5","Hairston, Leslie A.",1.06375522342004
"22","Munoz, Ricardo",1.01279043073358
"36","Sposato, Nicholas",0.701713446122991
"18","Lane, Lona",0.683525111619548
"29","Graham, Deborah L.",0.607989253572114
"24","Chandler, Michael D.",0.584457373378515
"48","Osterman, Harry",0.459104333973935
"45","Arena, John",0.415920511786712
"2","Fioretti, Bob",0.382476647611872
"28","Ervin, Jason C.",0.261478369936571
"41","O'Connor, Mary",0.246783874886751
"42","Reilly, Brendan",0.161459446556428
"46","Cappleman, James",0.0899426318039875
"47","Pawar, Ameya",0.0278658874098532
"38","Cullerton, Timothy M.",0.0197689207497488
"43","Smith, Michele",-2.36644193952196e-05
"3","Dowell, Pat",-0.0151743816954798
"10","Pope, John",-0.0290353880399874
"50","Silverstein, Debra L.",-0.287316037026065
"1","Moreno, Proco Joe",-0.291973596315793
"20","Cochran, Willie",-0.370541251777842
"35","Colón, Rey",-0.477275463687934
"32","Waguespack, Scott",-0.545075866451205
"15","Foulkes, Toni",-0.663531489811992
"26","Maldonado, Roberto",-0.669511327503448
"16","Thompson, Joann",-0.778688348977922
