Election,Date,URL,,
"April, 2011 Supplementary Municipal",2011-4-5,https://www.chicagoelections.com/wdlevel3.asp?elec_code=24,,
March 2012 Green Party Primary Election,2012-3-20,https://www.chicagoelections.com/wdlevel3.asp?elec_code=22,,
March 2004 Primary Republican,2004-3-16,https://www.chicagoelections.com/wdlevel3.asp?elec_code=100,,
April 2009 Special Election,2009-4-7,https://www.chicagoelections.com/wdlevel3.asp?elec_code=33,,
February 2008 Democratic Party Primary,2008-2-5,https://www.chicagoelections.com/wdlevel3.asp?elec_code=45,,
February 2010 Primary Democratic,2010-2-2,https://www.chicagoelections.com/wdlevel3.asp?elec_code=27,,
March 2000 Primary Republican,2000-3-21,https://www.chicagoelections.com/wdlevel3.asp?elec_code=125,,
November 2006 General,2006-11-7,https://www.chicagoelections.com/wdlevel3.asp?elec_code=70,,
February 2008 Green Party and N-P Primary,2008-2-5,https://www.chicagoelections.com/wdlevel3.asp?elec_code=55,,
March 2000 Primary Democratic,2000-3-21,https://www.chicagoelections.com/wdlevel3.asp?elec_code=124,,
February 2010 Primary Other Contests,2010-2-2,https://www.chicagoelections.com/wdlevel3.asp?elec_code=31,,
March 2009 Special Republican Party Primary,2009-3-3,https://www.chicagoelections.com/wdlevel3.asp?elec_code=36,,
March 2002 Primary Republican,2002-3-19,https://www.chicagoelections.com/wdlevel3.asp?elec_code=117,,
March 2006 Primary Republican,2006-3-21,https://www.chicagoelections.com/wdlevel3.asp?elec_code=80,,
March 2004 Primary Other Contests,2004-3-16,https://www.chicagoelections.com/wdlevel3.asp?elec_code=101,,
February 2008 Republican Party Primary,2008-2-5,https://www.chicagoelections.com/wdlevel3.asp?elec_code=101,,
"April, 2007 Supplementary Municipal",2007-4-17,https://www.chicagoelections.com/wdlevel3.asp?elec_code=60,,
March 2012 Republican Party Primary Election,2012-3-20,https://www.chicagoelections.com/wdlevel3.asp?elec_code=21,,
"November, 2010 General",2010-11-2,https://www.chicagoelections.com/wdlevel3.asp?elec_code=26,,
February 2011 Municipal General Election,2011-2-22,https://www.chicagoelections.com/wdlevel3.asp?elec_code=25,,
April 2013 Special Election,2013-4-9,https://www.chicagoelections.com/wdlevel3.asp?elec_code=16,,
March 2012 Democratic Party Primary Election,2012-3-20,https://www.chicagoelections.com/wdlevel3.asp?elec_code=20,,
November 2004 General,2004-11-2,https://www.chicagoelections.com/wdlevel3.asp?elec_code=90,,
"February, 2007 Municipal",2007-2-27,https://www.chicagoelections.com/wdlevel3.asp?elec_code=65,,
March 2012 Nonpartisan Primary Election,2012-3-20,https://www.chicagoelections.com/wdlevel3.asp?elec_code=23,,
"April, 2003 Aldermanic Runoff",2003-4-1,https://www.chicagoelections.com/wdlevel3.asp?elec_code=105,,
"November, 2012 General",2012-11-6,https://www.chicagoelections.com/wdlevel3.asp?elec_code=19,,
"November, 2008 General",2008-11-4,https://www.chicagoelections.com/wdlevel3.asp?elec_code=40,,
March 2006 Primary Other Contests,2006-3-21,https://www.chicagoelections.com/wdlevel3.asp?elec_code=85,,
March 2004 Primary Democratic,2004-3-16,https://www.chicagoelections.com/wdlevel3.asp?elec_code=95,,
"November, 2000 General",2000-11-7,https://www.chicagoelections.com/wdlevel3.asp?elec_code=120,,
March 2009 Special Green Party Primary,2009-3-3,https://www.chicagoelections.com/wdlevel3.asp?elec_code=38,,
February 2010 Primary Republican,2010-2-2,https://www.chicagoelections.com/wdlevel3.asp?elec_code=29,,
March 2002 Primary Other Contests,2002-3-19,https://www.chicagoelections.com/wdlevel3.asp?elec_code=118,,
March 2009 Special Democratic Party Primary,2009-3-3,https://www.chicagoelections.com/wdlevel3.asp?elec_code=34,,
March 2002 Primary Democratic,2002-3-19,https://www.chicagoelections.com/wdlevel3.asp?elec_code=116,,
"February, 2003 Municipal",2003-2-25,https://www.chicagoelections.com/wdlevel3.asp?elec_code=110,,
"November, 2002 General",2002-11-2,https://www.chicagoelections.com/wdlevel3.asp?elec_code=115,,
February 2013 Special Republican Party Primary,2013-2-26,https://www.chicagoelections.com/wdlevel3.asp?elec_code=18,,
February 2013 Special Democratic Party Primary,2013-2-26,https://www.chicagoelections.com/wdlevel3.asp?elec_code=17,,
March 2006 Primary Democratic,2006-3-21,https://www.chicagoelections.com/wdlevel3.asp?elec_code=75,,
,,,,
